stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1718,1718,"PIONEER / HOMER WATSON",,  43.395601, -80.431514,,,0,
1719,1719,"GREEN VALLEY / PIONEER",,  43.396097, -80.429917,,,0,
1720,1720,"GREEN VALLEY / ARROWHEAD",,  43.395146, -80.426999,,,0,
1721,1721,"GREEN VALLEY / MILL PARK",,  43.395888, -80.425893,,,0,
1722,1722,"OLD MILL / ROOS",,  43.394289, -80.417857,,,0,
1723,1723,"Old Mill / Pinnacle",,  43.393371, -80.414298,,,0,
1724,1724,"PINNACLE / AMHERST",,  43.392182, -80.414309,,,0,
1725,1725,"PINNACLE / DOON VALLEY",,  43.389864, -80.415381,,,0,
1727,1727,"DOON VALLEY / CONESTOGA",,  43.390810, -80.410186,,,0,
1728,1728,"CONESTOGA COLLEGE ENTRANCE",,  43.387998, -80.411628,,,0,
1729,1729,"CONESTOGA COLLEGE RESIDENCE",,  43.385228, -80.412067,,,0,
1731,1731,"CONESTOGA COLLEGE REC CENTRE",,  43.389629, -80.408074,,,0,
1732,1732,"CONESTOGA COLLEGE DOOR 3",,  43.390289, -80.403511,,,0,place_CCD
1733,1733,"CONESTOGA COLLEGE DAYCARE",,  43.391958, -80.404125,,,0,
